Target_Bin_id,Num_of_seqs
Loc081215-1m_megahit_metabat_bin-1733,25
Loc081215-6m_megahit_metabat_bin-2058,3606
Loc081215-9m_megahit_metabat_bin-1822,199
Loc090402-4m_megahit_metabat_bin-0439,53
Loclat_megahit_metabat_bin-20725,27
Loc090519-5m_megahit_metabat_bin-1209,175
Loc090721-8-6m_megahit_metabat_bin-0133,14
Loclat_megahit_metabat_bin-14458,17
Loc090519-1m_megahit_metabat_bin-0775,26
Loclat_megahit_metabat_bin-07037,39
Loc081215-4m_megahit_metabat_bin-0001,55
Loc081215-6m_megahit_metabat_bin-0195,31
Loc090402-8m_megahit_metabat_bin-0713,10
Loc081215-5m_megahit_metabat_bin-1848,78
Loc090907-5m_megahit_metabat_bin-326,18
Loc090402-7m_megahit_metabat_bin-0772,16
Loc080925-4m_megahit_metabat_bin-0067,81
Loc090116-9m_megahit_metabat_bin-0098,50
Loc081215-5m_megahit_metabat_bin-0668,137
Loc081215-6m_megahit_metabat_bin-1195,21
Loc081215-4m_megahit_metabat_bin-1677,2515
Loc081215-9m_megahit_metabat_bin-2053,286
Loclat_megahit_metabat_bin-01939,44
Loc090519-8-7m_megahit_metabat_bin-0304,17
Loc090519-1m_megahit_metabat_bin-1576,67
Loc090519-1m_megahit_metabat_bin-1429,16
Loc090907-8m_megahit_metabat_bin-832,64
Loc090402-4m_megahit_metabat_bin-0045,37
Loc090907-5m_megahit_metabat_bin-614,1811
Loc090721-4m_megahit_metabat_bin-0409,13
Loc090519-7m_megahit_metabat_bin-1097,14
Loc090402-1m_megahit_metabat_bin-0425,1898
Loc090116-4m_megahit_metabat_bin-1432,33
Loc081215-5m_megahit_metabat_bin-2095,35
Loc090519-6m_megahit_metabat_bin-1190,13
Loc090907-1m_megahit_metabat_bin-666,26
Loc090519-8m_megahit_metabat_bin-0387,37
Loclat_megahit_metabat_bin-03527,7
Loc090116-1m_megahit_metabat_bin-0092,48
Loc090519-8-7m_megahit_metabat_bin-1616,11
Loc090519-7m_megahit_metabat_bin-0767,10
Loc090402-7m_megahit_metabat_bin-0651,41
Loc090116-9m_megahit_metabat_bin-1057,36
Loc090116-1m_megahit_metabat_bin-0072,208
Loclat_megahit_metabat_bin-07544,17
Loclat_megahit_metabat_bin-06589,50
Loclat_megahit_metabat_bin-16538,16
Loc080925-7m_megahit_metabat_bin-0312,24
Loc081215-1m_megahit_metabat_bin-0108,38
Loc081215-9m_megahit_metabat_bin-0869,97
Loc081215-1m_megahit_metabat_bin-0587,17
Loc080925-7m_megahit_metabat_bin-0463,12
Loc090402-7m_megahit_metabat_bin-0527,37
Loc090721-4m_megahit_metabat_bin-0709,66
Loc090402-8m_megahit_metabat_bin-0037,62
Loc080925-4m_megahit_metabat_bin-0159,9
Loc081215-8m_megahit_metabat_bin-2181,35
Loc090721-4m_megahit_metabat_bin-0765,559
Loc090116-4m_megahit_metabat_bin-0051,44
Loc090116-9m_megahit_metabat_bin-0515,87
Loc090116-4m_megahit_metabat_bin-0893,22
Loclat_megahit_metabat_bin-11567,18
Loc090402-1m_megahit_metabat_bin-0103,23
Loc080925-6m_megahit_metabat_bin-0752,37
Loc090519-1m_megahit_metabat_bin-1046,34
Loc081215-4m_megahit_metabat_bin-1733,51
Loclat_megahit_metabat_bin-10146,32
Loc090907-8-6m_megahit_metabat_bin-184,32
Loc090907-6m_megahit_metabat_bin-347,19
Loc090402-8m_megahit_metabat_bin-1413,69
Loc090519-1m_megahit_metabat_bin-1886,11
Loclat_megahit_metabat_bin-19615,19
Loclat_megahit_metabat_bin-04627,12
Loc090519-1m_megahit_metabat_bin-1584,32
Loc090519-7m_megahit_metabat_bin-1015,90
Loclat_megahit_metabat_bin-19562,15
Loc081215-8m_megahit_metabat_bin-2208,274
Loc090721-4m_megahit_metabat_bin-0365,12
Loc090519-6m_megahit_metabat_bin-0131,17
Loc081215-4m_megahit_metabat_bin-0761,74
Loc081215-9m_megahit_metabat_bin-1846,13
Loclat_megahit_metabat_bin-12737,13
Loc090402-8m_megahit_metabat_bin-1151,115
Loc080925-8-8m_megahit_metabat_bin-086,29
Loclat_megahit_metabat_bin-08147,27
Loc090721-6m_megahit_metabat_bin-871,2178
Loc090519-5m_megahit_metabat_bin-1212,14
Loc081215-6m_megahit_metabat_bin-1155,24
Loc090907-6m_megahit_metabat_bin-267,3011
Loc090907-8-6m_megahit_metabat_bin-593,17
Loc080925-8m_megahit_metabat_bin-116,7
Loc081215-6m_megahit_metabat_bin-1790,21
Loc090519-8-7m_megahit_metabat_bin-0822,32
Loc080925-4-5m_megahit_metabat_bin-0222,25
Loclat_megahit_metabat_bin-11437,61
Loc090402-1m_megahit_metabat_bin-0171,32
Loc081215-5m_megahit_metabat_bin-0321,21
Loc080925-5m_megahit_metabat_bin-0075,4620
Loc090907-8m_megahit_metabat_bin-464,53
